time,ppt,pdsi,soil,pet
1958-01-01,182.54444444444445,-0.28243055555555485,102.58715277777779,29.58090277777778
1958-02-01,61.55902777777778,-1.0275694444444436,102.58715277777779,43.76145833333334
1958-03-01,147.2711805555556,1.6647916666666671,102.58715277777779,59.058333333333344
1958-04-01,86.31493055555556,2.276562500000001,93.6045138888889,92.32187500000002
1958-05-01,22.512500000000003,2.3078819444444454,40.69444444444444,142.09409722222222
1958-06-01,15.147569444444445,1.886562500000001,27.17256944444445,184.95486111111111
1958-07-01,4.372222222222223,1.5451736111111118,20.811805555555555,227.91736111111115
1958-08-01,0.29027777777777786,1.089236111111112,16.979861111111113,227.3878472222222
1958-09-01,36.97291666666667,1.451736111111112,14.384722222222226,138.30034722222223
1958-10-01,45.691319444444446,1.4602777777777787,12.5,91.96319444444445
1958-11-01,18.65138888888889,-0.4930555555555546,11.066319444444446,47.73020833333333
1958-12-01,129.6048611111111,-1.3658333333333321,93.29374999999999,30.234722222222224
1959-01-01,233.19479166666667,0.9761458333333345,102.58715277777779,29.969097222222224
1959-02-01,20.65868055555556,-0.8638888888888882,91.54513888888889,33.285069444444446
1959-03-01,25.23680555555556,-1.7094097222222215,67.40104166666667,71.94618055555556
1959-04-01,32.17881944444444,-2.2998611111111105,42.00277777777777,99.23402777777778
1959-05-01,25.39548611111111,-2.8578124999999996,27.06979166666667,144.7736111111111
1959-06-01,28.89236111111111,-2.4946527777777767,20.664583333333333,177.13715277777777
1959-07-01,27.590625000000003,-1.535937499999999,16.853125000000002,204.6138888888889
1959-08-01,7.9072916666666675,-1.3257291666666657,14.275347222222226,205.50625000000002
1959-09-01,4.594444444444445,-1.5943055555555548,12.413888888888888,146.10972222222225
1959-10-01,28.95381944444445,-1.5982291666666657,10.991319444444446,87.73368055555555
1959-11-01,63.219791666666666,-1.547013888888888,25.54201388888889,45.592013888888886
1959-12-01,189.9326388888889,-1.0458333333333327,102.58715277777779,28.28055555555556
1960-01-01,220.2541666666667,1.35732638888889,102.58715277777779,29.915972222222226
1960-02-01,76.5496527777778,0.9435069444444453,102.58715277777779,39.06875
1960-03-01,53.68194444444445,0.2801388888888897,93.90277777777777,63.68090277777779
1960-04-01,53.66805555555556,0.6024305555555564,72.165625,88.30694444444445
1960-05-01,27.220833333333335,0.027604166666667342,36.03402777777778,146.04166666666666
1960-06-01,11.28888888888889,-0.5729166666666657,25.240972222222226,178.40590277777778
1960-07-01,1.213541666666667,-0.8339236111111102,19.707638888888894,224.3548611111111
1960-08-01,0.6315972222222224,-0.9916319444444438,16.25277777777778,215.55972222222223
1960-09-01,10.653819444444444,-1.1274305555555548,13.864583333333334,144.86041666666665
1960-10-01,13.910069444444446,-1.6138541666666661,12.11111111111111,100.00208333333335
1960-11-01,35.56319444444445,-2.1197222222222214,11.15138888888889,50.32222222222222
1960-12-01,277.36944444444447,-0.6713194444444435,102.58715277777779,35.405208333333334
1961-01-01,96.9232638888889,-0.8647569444444435,102.58715277777779,29.38090277777778
1961-02-01,96.86458333333333,-0.7319444444444435,102.58715277777779,37.36145833333333
1961-03-01,36.858333333333334,-1.4137847222222213,81.24062500000001,70.81909722222223
1961-04-01,56.84444444444444,-1.3820833333333324,58.88125000000001,102.48506944444446
1961-05-01,23.06666666666667,-1.7737499999999993,32.50486111111112,140.79930555555555
1961-06-01,42.39930555555556,-1.1543055555555546,23.514236111111114,175.50694444444446
1961-07-01,4.399652777777778,-1.1995138888888879,18.650347222222223,230.1100694444445
1961-08-01,1.5236111111111112,-1.3038194444444435,15.532291666666671,222.82256944444444
1961-09-01,13.426388888888889,-1.3678819444444437,13.338888888888889,152.4388888888889
1961-10-01,6.253125000000001,-1.9004166666666658,11.708333333333334,89.57361111111112
1961-11-01,32.36805555555556,-2.419374999999999,10.875,49.28854166666667
1961-12-01,131.17916666666667,-2.653472222222222,94.54618055555557,29.00486111111111
1962-01-01,76.54062500000002,-3.0393749999999993,102.47430555555556,32.734375
1962-02-01,144.85902777777778,-2.0299999999999994,102.58715277777779,34.907291666666666
1962-03-01,103.24722222222223,-1.2008333333333328,102.43298611111112,68.47986111111112
1962-04-01,60.532986111111114,-0.5195486111111103,80.68645833333333,92.49444444444445
1962-05-01,28.200694444444448,-0.2095833333333322,37.479166666666664,149.21423611111112
1962-06-01,6.259722222222222,-0.6790624999999991,25.88576388888889,192.8805555555556
1962-07-01,17.45486111111111,-0.21093749999999922,20.086458333333333,229.84375
1962-08-01,2.838888888888889,-0.36913194444444347,16.505902777777777,218.69583333333335
1962-09-01,25.784375000000004,-0.13246527777777717,14.046875,152.14097222222225
1962-10-01,45.41736111111111,0.43586805555555647,12.250694444444445,80.84340277777778
1962-11-01,65.98888888888888,0.3993402777777787,30.391666666666666,44.545138888888886
1962-12-01,311.40208333333334,2.3286805555555565,102.58715277777779,31.19236111111111
1963-01-01,198.79895833333336,2.9380208333333346,102.58715277777779,27.840625000000003
1963-02-01,200.0107638888889,4.081180555555557,102.58715277777779,34.98541666666667
1963-03-01,60.0923611111111,3.4425347222222236,95.0545138888889,66.95972222222223
1963-04-01,68.70520833333333,3.4981944444444455,79.99791666666667,91.34687500000001
1963-05-01,93.95,4.490972222222223,66.7826388888889,117.46111111111112
1963-06-01,26.880555555555556,5.129270833333335,33.068749999999994,169.84479166666668
1963-07-01,6.966319444444445,4.656562500000001,23.786458333333332,214.02395833333333
1963-08-01,0.7958333333333333,3.983784722222223,18.811458333333334,212.52812500000002
1963-09-01,1.875,3.1078819444444457,15.637152777777779,149.06562499999998
1963-10-01,41.484375,2.9544791666666677,13.411111111111111,83.5482638888889
1963-11-01,28.76215277777778,1.92763888888889,11.853472222222223,46.61006944444445
1963-12-01,170.89236111111111,1.5688888888888899,100.00381944444445,38.16111111111112
1964-01-01,49.09652777777777,-0.1010069444444435,102.13784722222222,25.508680555555557
1964-02-01,74.33715277777777,-1.2820833333333326,102.58715277777779,32.802083333333336
1964-03-01,95.71631944444445,-0.6513541666666658,102.58715277777779,63.24791666666667
1964-04-01,25.24201388888889,-1.5214583333333327,53.801388888888894,108.3423611111111
1964-05-01,28.668402777777786,-1.8416319444444436,31.345138888888894,134.83298611111113
1964-06-01,29.595833333333335,-1.518194444444444,23.01701388888889,173.58298611111113
1964-07-01,3.0802083333333337,-1.5549305555555548,18.36875,220.06145833333335
1964-08-01,2.6017361111111112,-1.541701388888888,15.345138888888888,200.8684027777778
1964-09-01,63.345486111111114,0.8593750000000008,13.209722222222224,131.2625
1964-10-01,5.1885416666666675,-0.5624652777777767,11.608680555555557,98.0875
1964-11-01,64.26493055555555,-0.6891666666666657,24.609027777777776,48.11354166666667
1964-12-01,197.415625,0.1275000000000008,102.58715277777779,31.56319444444445
1965-01-01,105.58194444444445,-0.34194444444444383,102.58715277777779,32.08368055555556
1965-02-01,246.1184027777778,2.3885416666666672,102.58715277777779,26.583680555555556
1965-03-01,70.8263888888889,2.1613541666666674,100.74097222222223,63.96909722222223
1965-04-01,126.61111111111111,3.5515972222222234,101.41215277777779,84.5184027777778
1965-05-01,82.48645833333336,4.737465277777779,74.09131944444445,125.27604166666667
1965-06-01,7.319097222222222,5.06076388888889,34.873958333333334,184.95416666666668
1965-07-01,2.6430555555555557,4.380173611111112,24.74652777777778,215.7121527777778
1965-08-01,8.777083333333334,4.049756944444446,19.421527777777776,193.42916666666667
1965-09-01,0.4090277777777778,3.1256944444444454,16.061805555555555,147.29236111111112
1965-10-01,23.945486111111116,2.4996180555555565,13.730555555555558,92.14722222222223
1965-11-01,140.6746527777778,3.487291666666668,92.33125000000001,45.44652777777779
1965-12-01,191.08472222222224,4.145069444444446,102.58715277777779,29.15555555555556
1966-01-01,344.7916666666667,6.115277777777779,102.58715277777779,28.312847222222224
1966-02-01,34.69756944444445,4.661805555555556,96.03541666666668,42.6576388888889
1966-03-01,139.42534722222223,5.436562500000002,102.58715277777779,63.77916666666667
1966-04-01,75.55347222222223,5.484861111111112,90.4625,89.81666666666666
1966-05-01,19.37118055555556,5.071770833333335,39.685763888888886,141.24583333333334
1966-06-01,40.532986111111114,4.98982638888889,26.785416666666666,171.34375
1966-07-01,3.9409722222222223,4.337743055555557,20.602430555555557,213.07569444444445
1966-08-01,22.80173611111111,4.516631944444446,16.84027777777778,202.25972222222222
1966-09-01,36.04409722222223,4.50795138888889,14.286458333333334,133.38958333333332
1966-10-01,4.620833333333334,3.348090277777779,12.426736111111113,87.915625
1966-11-01,68.95868055555555,2.8927430555555564,26.833333333333332,51.804861111111116
1966-12-01,295.91631944444447,4.04201388888889,102.58715277777779,32.71319444444444
1967-01-01,132.53298611111111,3.733472222222223,102.58715277777779,29.900347222222226
1967-02-01,39.888888888888886,2.626562500000001,100.27291666666666,37.17534722222222
1967-03-01,43.61145833333334,1.8527083333333343,84.96284722222222,67.2263888888889
1967-04-01,85.81145833333333,2.296736111111112,79.5795138888889,90.65104166666667
1967-05-01,47.61840277777778,2.5271180555555564,45.32777777777778,132.81284722222222
1967-06-01,13.029861111111112,2.2450000000000006,28.186458333333334,181.7982638888889
1967-07-01,11.06076388888889,2.16420138888889,21.276736111111113,216.15069444444447
1967-08-01,2.053125,1.7842013888888895,17.24826388888889,208.6513888888889
1967-09-01,16.43541666666667,1.5498958333333341,14.55763888888889,136.8684027777778
1967-10-01,43.113888888888894,1.5158333333333343,12.62013888888889,85.42986111111111
1967-11-01,30.22118055555556,0.319861111111112,11.168750000000001,47.97222222222223
1967-12-01,219.99131944444446,0.8159375000000009,102.58715277777779,30.830902777777776
1968-01-01,277.4375,2.600000000000001,102.58715277777779,25.914236111111116
1968-02-01,87.09791666666668,2.209722222222223,102.58715277777779,38.77534722222222
1968-03-01,69.42256944444446,1.9161805555555564,98.88125000000001,67.94965277777777
1968-04-01,18.110416666666666,1.0364930555555565,48.30069444444445,109.18333333333334
1968-05-01,28.456249999999997,-1.490312499999999,29.73784722222222,159.3576388888889
1968-06-01,39.741666666666674,-0.7702083333333323,22.19340277777778,172.065625
1968-07-01,0.0,-1.1335069444444434,17.857986111111114,224.1402777777778
1968-08-01,11.303472222222222,-0.6907291666666658,14.99826388888889,184.54687500000003
1968-09-01,53.577083333333334,1.133472222222223,12.958680555555556,121.71701388888889
1968-10-01,46.036458333333336,1.4553819444444451,11.413888888888888,76.95104166666667
1968-11-01,50.02395833333334,1.0444444444444454,19.048958333333335,40.327777777777776
1968-12-01,196.00659722222224,1.242048611111112,102.58715277777779,29.29513888888889
1969-01-01,193.56354166666668,1.9211805555555561,102.58715277777779,28.486458333333335
1969-02-01,135.40312500000002,2.292534722222223,102.58715277777779,36.511805555555554
1969-03-01,74.96736111111112,2.2070833333333337,102.53645833333334,60.65034722222222
1969-04-01,54.493750000000006,2.2154513888888894,79.29340277777777,88.68368055555555
1969-05-01,33.99513888888889,2.1279166666666676,37.34027777777778,145.82777777777778
1969-06-01,15.590277777777779,1.681562500000001,25.85590277777778,181.18472222222223
1969-07-01,13.257291666666667,1.7128819444444454,20.07465277777778,206.13958333333332
1969-08-01,0.4659722222222222,1.2434375000000009,16.498958333333334,198.08819444444444
1969-09-01,2.9069444444444446,0.41423611111111186,14.04375,141.9013888888889
1969-10-01,12.73402777777778,-0.6111805555555546,12.24340277777778,90.34062499999999
1969-11-01,31.090625000000003,-1.715624999999999,10.867361111111112,50.78402777777777
1969-12-01,346.7055555555556,1.9055555555555561,102.58715277777779,28.97152777777778
1970-01-01,109.3326388888889,1.594548611111112,102.58715277777779,29.202083333333334
1970-02-01,186.21284722222222,2.6341666666666677,102.58715277777779,39.861111111111114
1970-03-01,84.29583333333332,2.5089236111111117,101.34652777777778,71.53090277777778
1970-04-01,34.80173611111112,1.911423611111112,58.009375000000006,107.62534722222223
1970-05-01,35.21006944444444,1.3278472222222233,32.928125,140.36493055555556
1970-06-01,22.395833333333332,1.1574652777777787,23.767708333333335,175.91770833333334
1970-07-01,9.614930555555555,1.1152430555555564,18.81840277777778,210.7701388888889
1970-08-01,0.640625,0.6978125000000007,15.652777777777779,203.08923611111112
1970-09-01,6.817361111111111,-0.03468749999999902,13.431944444444445,138.45659722222223
1970-10-01,53.47465277777778,0.6268402777777785,11.821180555555555,81.15347222222223
1970-11-01,59.350347222222226,0.2509722222222232,24.9875,43.215277777777786
1970-12-01,116.14097222222225,-0.6242361111111102,90.08784722222224,28.451041666666672
1971-01-01,84.23229166666665,-1.2705208333333324,102.58715277777779,31.28541666666667
1971-02-01,157.44756944444447,0.6744097222222231,102.58715277777779,38.782291666666666
1971-03-01,159.14305555555555,2.4893055555555565,102.58715277777779,60.12013888888888
1971-04-01,35.033680555555556,2.0730555555555563,65.81493055555556,92.67673611111111
1971-05-01,30.759722222222226,1.7398958333333345,35.13506944444444,131.69375
1971-06-01,34.10694444444445,1.8250347222222234,24.83576388888889,173.74618055555558
1971-07-01,25.936458333333334,2.3376388888888897,19.470138888888886,194.3076388888889
1971-08-01,20.723958333333332,2.6799305555555564,16.09201388888889,189.5284722222222
1971-09-01,31.93576388888889,2.7510069444444456,13.753819444444446,135.62604166666668
1971-10-01,49.24513888888889,2.7996180555555563,12.02638888888889,85.27256944444444
1971-11-01,103.08784722222224,3.1506597222222235,64.81319444444446,42.126736111111114
1971-12-01,110.75243055555558,2.653437500000001,100.3545138888889,30.160763888888887
1972-01-01,63.08923611111111,1.722500000000001,102.55555555555557,28.586805555555557
1972-02-01,89.01666666666668,1.4211111111111119,102.58715277777779,39.691319444444446
1972-03-01,35.306250000000006,-0.6480555555555547,76.18125,76.71388888888889
1972-04-01,140.49062500000002,1.7825347222222234,95.58854166666667,95.8951388888889
